l i j f[l] s[l] h[l]
68 2 13 -3.205 0.4343255555555556 2.220446049250313e-16
69 3 13 -0.85943 -2.147317777777778 4.440892098500626e-16
70 4 13 -2.6138 2.2304105555555553 2.220446049250313e-16
71 5 13 -3.4402 0.12026722222222215 1.1102230246251565e-16
72 6 13 -1.7527 -0.061915 -4.440892098500626e-16
73 7 13 -3.1693 -0.24390305555555555 2.220446049250313e-16
74 8 13 -2.4721 -0.2874563888888888 5.551115123125783e-17
75 9 13 -0.89222 0.6983413888888889 0.0
76 10 13 -1.4807 -2.9961436111111106 -5.551115123125783e-16
77 11 13 2.9779 0.059339722222222155 2.7755575615628914e-16
78 12 13 4.0521 -0.3687236111111112 2.220446049250313e-16
79 1 14 -2.2309 -0.28096666666666675 2.220446049250313e-16
80 2 14 -2.4777 0.4343255555555556 2.220446049250313e-16
81 3 14 1.7053 -2.147317777777778 4.440892098500626e-16
82 4 14 -2.9456 2.2304105555555553 2.220446049250313e-16
83 5 14 -2.6174 0.12026722222222215 1.1102230246251565e-16
84 6 14 1.1575 -0.061915 -4.440892098500626e-16
85 7 14 -0.49722 -0.24390305555555555 2.220446049250313e-16
86 8 14 1.2661 -0.2874563888888888 5.551115123125783e-17
87 9 14 -0.51049 0.6983413888888889 0.0
88 10 14 -1.4895 -2.9961436111111106 -5.551115123125783e-16
89 11 14 -1.5052 0.059339722222222155 2.7755575615628914e-16
90 12 14 -0.43841 -0.3687236111111112 2.220446049250313e-16
91 13 14 0.13575 -1.9054558333333331 -2.220446049250313e-16
92 1 15 -2.6805 -0.28096666666666675 2.220446049250313e-16
93 2 15 -0.30547 0.4343255555555556 2.220446049250313e-16
94 3 15 0.82965 -2.147317777777778 4.440892098500626e-16
95 4 15 -3.4832 2.2304105555555553 2.220446049250313e-16
96 5 15 -2.3219 0.12026722222222215 1.1102230246251565e-16
97 6 15 -0.1695 -0.061915 -4.440892098500626e-16
98 7 15 0.9327 -0.24390305555555555 2.220446049250313e-16
99 8 15 1.3458 -0.2874563888888888 5.551115123125783e-17
100 9 15 -1.1405 0.6983413888888889 0.0
101 10 15 1.7621 -2.9961436111111106 -5.551115123125783e-16
102 11 15 3.5005 0.059339722222222155 2.7755575615628914e-16
103 12 15 0.82303 -0.3687236111111112 2.220446049250313e-16
104 13 15 2.5005 -1.9054558333333331 -2.220446049250313e-16
105 14 15 -1.4806 1.8092491666666661 5.551115123125783e-16
106 1 16 -2.346 -0.28096666666666675 2.220446049250313e-16
107 2 16 1.6106 0.4343255555555556 2.220446049250313e-16
108 3 16 0.60179 -2.147317777777778 4.440892098500626e-16
109 4 16 -2.2382 2.2304105555555553 2.220446049250313e-16
110 5 16 -0.76423 0.12026722222222215 1.1102230246251565e-16
111 6 16 -1.5904 -0.061915 -4.440892098500626e-16
112 7 16 2.7246 -0.24390305555555555 2.220446049250313e-16
113 8 16 -1.238 -0.2874563888888888 5.551115123125783e-17
114 9 16 -0.49605 0.6983413888888889 0.0
115 10 16 3.9234 -2.9961436111111106 -5.551115123125783e-16
116 11 16 0.011931 0.059339722222222155 2.7755575615628914e-16
117 12 16 -0.34517 -0.3687236111111112 2.220446049250313e-16
118 13 16 1.201 -1.9054558333333331 -2.220446049250313e-16
119 14 16 0.43154 1.8092491666666661 5.551115123125783e-16
