t i j k u[t]
262 2 9 13 -0.21651999999999996
263 2 9 14 -0.15041949999999996
264 2 9 15 -0.12604499999999996
265 2 9 16 -0.12953249999999997
266 2 9 17 0.13171649999999996
267 2 9 18 -0.06307499999999998
268 2 9 19 -0.10265999999999996
269 2 9 20 -0.21101999999999993
270 2 10 11 -0.23426499999999992
271 2 10 12 0.09924149999999998
272 2 10 13 -0.06282999999999998
273 2 10 14 -0.11377299999999997
274 2 10 15 -0.16012499999999996
275 2 10 16 -0.18008899999999994
276 2 10 17 0.18604999999999997
277 2 10 18 -0.03729999999999999
278 2 10 19 0.018611499999999986
279 2 10 20 -0.13526999999999997
280 2 11 12 0.04503849999999998
281 2 11 13 0.011474999999999989
282 2 11 14 -0.13146949999999996
283 2 11 15 -0.07295999999999998
284 2 11 16 -0.13648899999999997
285 2 11 17 0.16151549999999995
286 2 11 18 0.04753949999999999
287 2 11 19 -0.03418
288 2 11 20 -0.22580999999999993
289 2 12 13 -0.22988999999999993
290 2 12 14 -0.14252949999999995
291 2 12 15 -0.17848999999999993
292 2 12 16 -0.15693999999999994
293 2 12 17 0.056252499999999976
294 2 12 18 0.037017499999999995
295 2 12 19 -0.16515999999999995
296 2 12 20 -0.19500999999999993
297 2 13 14 0.07048149999999999
298 2 13 15 0.15721699999999994
299 2 13 16 0.024828999999999997
300 2 13 17 0.07218999999999998
301 2 13 18 0.06107499999999998
302 2 13 19 0.001929999999999998
303 2 13 20 -0.08164999999999997
304 2 14 15 0.030088499999999997
305 2 14 16 -0.16520049999999997
306 2 14 17 0.2851824999999999
307 2 14 18 0.15481399999999995
308 2 14 19 0.24374349999999992
309 2 14 20 0.04650349999999999
310 2 15 16 -0.17580699999999996
311 2 15 17 0.14218749999999997
312 2 15 18 -0.18619999999999995
313 2 15 19 -0.128375
314 2 15 20 -0.23604999999999993
315 2 16 17 0.18438899999999994
316 2 16 18 0.2818839999999999
317 2 16 19 0.19963899999999993
318 2 16 20 -0.03376599999999999
319 2 17 18 0.07667499999999998
320 2 17 19 -0.10027349999999996
321 2 17 20 -0.3868499999999999
322 2 18 19 -0.0929415
323 2 18 20 -0.11596299999999997
324 2 19 20 -0.19390499999999994
325 3 4 5 0.19475999999999996
326 3 4 6 -0.09567499999999997
327 3 4 7 0.11353959999999998
328 3 4 8 0.25894999999999996
329 3 4 9 0.2919849999999999
330 3 4 10 0.18930999999999995
331 3 4 11 -0.06631049999999998
332 3 4 12 0.14634999999999992
333 3 4 13 0.19395499999999996
334 3 4 14 0.21972749999999994
335 3 4 15 0.07456499999999998
336 3 4 16 0.2710764999999999
337 3 4 17 0.07552499999999995
338 3 4 18 0.11904499999999996
339 3 4 19 0.3291099999999999
340 3 4 20 0.13792499999999994
341 3 5 6 0.12749499999999997
342 3 5 7 0.08771209999999999
343 3 5 8 0.35121999999999987
344 3 5 9 0.11945249999999998
345 3 5 10 0.18679999999999994
346 3 5 11 0.05208649999999999
347 3 5 12 0.24163049999999991
348 3 5 13 0.16799499999999998
349 3 5 14 0.16238049999999996
350 3 5 15 0.09864799999999997
351 3 5 16 0.09254499999999997
352 3 5 17 0.04055499999999997
353 3 5 18 -0.028635
354 3 5 19 0.21876999999999988
355 3 5 20 -0.01107
356 3 6 7 0.12015559999999997
357 3 6 8 0.3333399999999999
358 3 6 9 0.18100999999999995
359 3 6 10 0.15280249999999998
360 3 6 11 -0.025832499999999987
361 3 6 12 0.18649999999999997
362 3 6 13 0.20555999999999996
363 3 6 14 0.0939945
364 3 6 15 0.039299999999999995
365 3 6 16 0.16731949999999995
366 3 6 17 0.14653749999999993
367 3 6 18 0.11354249999999999
368 3 6 19 0.32706299999999994
369 3 6 20 0.02543000000000001
370 3 7 8 0.21679439999999991
371 3 7 9 0.045023399999999984
372 3 7 10 0.09316119999999997
373 3 7 11 -0.05995009999999998
374 3 7 12 0.06997939999999997
375 3 7 13 0.32016939999999994
376 3 7 14 -0.08998059999999998
377 3 7 15 -0.0074906
378 3 7 16 0.10697339999999997
379 3 7 17 0.14811889999999994
380 3 7 18 -0.0024256000000000047
381 3 7 19 0.16034939999999998
382 3 7 20 0.07501939999999997
383 3 8 9 -0.11519849999999998
384 3 8 10 -0.09592599999999997
385 3 8 11 -0.23585299999999995
386 3 8 12 -0.017165000000000003
387 3 8 13 0.014579000000000005
388 3 8 14 -0.18227999999999997
389 3 8 15 -0.2776449999999999
390 3 8 16 0.03545149999999998
391 3 8 17 -0.135455
392 3 8 18 -0.07475749999999998
393 3 8 19 0.3607999999999999
394 3 8 20 -0.18382999999999997
395 3 9 10 -0.07761499999999998
396 3 9 11 -0.10986269999999998
397 3 9 12 0.006089999999999994
398 3 9 13 0.014195
399 3 9 14 -0.018045999999999996
400 3 9 15 -0.15635999999999994
401 3 9 16 0.05596649999999999
402 3 9 17 0.015256499999999989
403 3 9 18 -0.12420499999999995
404 3 9 19 0.048225
405 3 9 20 -0.06523499999999999
406 3 10 11 -0.33530549999999987
407 3 10 12 0.14902149999999997
408 3 10 13 0.15379999999999994
409 3 10 14 0.0045154999999999935
410 3 10 15 -0.20452499999999998
411 3 10 16 -0.008675000000000009
412 3 10 17 0.055504999999999964
413 3 10 18 -0.11251499999999998
414 3 10 19 0.15541149999999995
415 3 10 20 -0.0035700000000000167
416 3 11 12 0.19585899999999995
417 3 11 13 0.32914549999999987
418 3 11 14 0.08785949999999997
419 3 11 15 -0.016319499999999994
420 3 11 16 0.13596549999999996
421 3 11 17 0.13201099999999993
422 3 11 18 0.07336499999999997
423 3 11 19 0.20366049999999994
424 3 11 20 0.006930499999999993
