t i j k u[t]
280 3 5 15 0.0016266666666666656
281 3 5 16 0.012645555555555568
282 3 5 17 0.09300333333333335
283 3 5 18 -0.14174388888888892
284 3 6 7 0.16776111111111114
285 3 6 8 -0.06728944444444446
286 3 6 9 0.01055777777777778
287 3 6 10 -0.04015000000000004
288 3 6 11 0.2500611111111111
289 3 6 12 -0.024223888888888902
290 3 6 13 0.10576111111111115
291 3 6 14 0.09264444444444447
292 3 6 15 0.020738888888888914
293 3 6 16 0.036363333333333366
294 3 6 17 -0.1378788888888889
295 3 6 18 0.07233500000000002
296 3 7 8 -0.04904500000000002
297 3 7 9 -0.12010333333333335
298 3 7 10 -0.10327888888888892
299 3 7 11 0.07094444444444448
300 3 7 12 -0.09156833333333335
301 3 7 13 -0.07568055555555557
302 3 7 14 -0.1515166666666667
303 3 7 15 -0.0029222222222222
304 3 7 16 -0.1302866666666667
305 3 7 17 -0.0021677777777777936
306 3 7 18 -0.024576111111111115
307 3 8 9 0.1369416666666667
308 3 8 10 0.13364611111111113
309 3 8 11 0.2730950000000001
310 3 8 12 -0.1617288888888889
311 3 8 13 0.13989611111111114
312 3 8 14 0.07699500000000002
313 3 8 15 0.18667333333333339
314 3 8 16 0.10999222222222224
315 3 8 17 0.2549994444444445
316 3 8 18 0.06474333333333333
317 3 9 10 0.20156944444444447
318 3 9 11 0.21903111111111118
319 3 9 12 0.21259055555555562
320 3 9 13 0.10054722222222225
321 3 9 14 0.19585555555555562
322 3 9 15 0.15038111111111113
323 3 9 16 -0.03506666666666666
324 3 9 17 0.03154994444444445
325 3 9 18 -0.012361666666666668
326 3 10 11 0.1800055555555556
327 3 10 12 -0.14509055555555558
328 3 10 13 0.10401666666666669
329 3 10 14 0.011419444444444453
330 3 10 15 -0.16905
331 3 10 16 0.06683555555555558
332 3 10 17 -0.14385
333 3 10 18 0.0527627777777778
334 3 11 12 -0.25750166666666674
335 3 11 13 -0.2466333333333334
336 3 11 14 -0.24326666666666674
337 3 11 15 0.14180000000000004
338 3 11 16 0.01069111111111111
339 3 11 17 -0.2879177777777779
340 3 11 18 -0.17259722222222226
341 3 12 13 0.12297388888888892
342 3 12 14 -0.12268166666666669
343 3 12 15 0.24131833333333344
344 3 12 16 -0.10995166666666668
345 3 12 17 -0.20865500000000006
346 3 12 18 0.1546366666666667
347 3 13 14 0.06779222222222224
348 3 13 15 0.1642944444444445
349 3 13 16 -0.11147166666666668
350 3 13 17 -0.07161000000000001
351 3 13 18 -0.1375427777777778
352 3 14 15 0.030527222222222237
353 3 14 16 -0.13965888888888894
354 3 14 17 -0.13362116666666668
355 3 14 18 -0.24790388888888898
356 3 15 16 -0.15623722222222228
357 3 15 17 0.006771111111111112
358 3 15 18 -0.1669082222222223
359 3 16 17 0.01053
360 3 16 18 -0.09024500000000003
361 3 17 18 0.25013055555555563
362 4 5 6 -0.1240666666666667
363 4 5 7 -0.11798333333333338
364 4 5 8 -0.05795944444444447
365 4 5 9 -0.03126444444444446
366 4 5 10 -0.15197777777777782
367 4 5 11 -0.023661111111111122
368 4 5 12 -0.1539833333333334
369 4 5 13 0.07752222222222224
370 4 5 14 0.060555555555555564
371 4 5 15 -0.07883888888888893
372 4 5 16 -0.10600555555555559
373 4 5 17 -0.0986866666666667
374 4 5 18 -0.2443500000000001
375 4 6 7 -0.20864444444444452
376 4 6 8 -0.2213783333333334
377 4 6 9 -0.12345666666666669
378 4 6 10 -0.20845555555555562
379 4 6 11 -0.06671111111111114
380 4 6 12 -0.1417333333333334
381 4 6 13 0.02532222222222223
382 4 6 14 0.13846111111111115
383 4 6 15 -0.13567222222222228
384 4 6 16 -0.1582333333333334
385 4 6 17 -0.40551444444444457
386 4 6 18 -0.10621666666666671
387 4 7 8 0.1732716666666667
388 4 7 9 0.1222877777777778
389 4 7 10 0.10482111111111113
390 4 7 11 0.13057777777777782
391 4 7 12 0.1673277777777778
392 4 7 13 0.22028611111111115
393 4 7 14 0.27070555555555564
394 4 7 15 0.21707222222222228
