t i j k u[t]
271 2 10 12 -0.0754475
272 2 10 13 0.11389700000000001
273 2 10 14 -0.2228645
274 2 10 15 -0.1317995
275 2 10 16 0.08763299999999999
276 2 10 17 -0.11825499999999999
277 2 10 18 -0.04072499999999999
278 2 10 19 -0.063003
279 2 10 20 0.01726500000000001
280 2 11 12 -0.2919725
281 2 11 13 -0.1794135
282 2 11 14 -0.34240499999999996
283 2 11 15 -0.0613025
284 2 11 16 0.13031500000000001
285 2 11 17 -0.07559999999999997
286 2 11 18 -0.26555
287 2 11 19 -0.0051830000000000044
288 2 11 20 -0.1706125
289 2 12 13 -0.018490500000000007
290 2 12 14 -0.2133025
291 2 12 15 0.00023499999999999633
292 2 12 16 0.312361
293 2 12 17 -0.0791175
294 2 12 18 0.06961250000000002
295 2 12 19 0.042278500000000004
296 2 12 20 -0.055862499999999995
297 2 13 14 0.026283000000000004
298 2 13 15 0.13514050000000002
299 2 13 16 0.482508
300 2 13 17 -0.006136999999999993
301 2 13 18 0.146921
302 2 13 19 -0.13527
303 2 13 20 0.09020150000000002
304 2 14 15 0.0416165
305 2 14 16 0.16048999999999997
306 2 14 17 0.11328
307 2 14 18 0.31578500000000004
308 2 14 19 0.123457
309 2 14 20 0.08950350000000001
310 2 15 16 0.3622025
311 2 15 17 0.0699625
312 2 15 18 0.18413100000000002
313 2 15 19 -0.060619
314 2 15 20 -0.0812075
315 2 16 17 -0.18504500000000002
316 2 16 18 0.03671500000000002
317 2 16 19 -0.39452799999999993
318 2 16 20 -0.1966675
319 2 17 18 0.081975
320 2 17 19 0.19103699999999998
321 2 17 20 0.05112499999999999
322 2 18 19 -0.23017050000000003
323 2 18 20 -0.22308
324 2 19 20 0.045837499999999996
325 3 4 5 -0.04832500000000001
326 3 4 6 0.040959499999999996
327 3 4 7 -0.15574500000000002
328 3 4 8 -0.3740355
329 3 4 9 -0.19868
330 3 4 10 0.148295
331 3 4 11 -0.022219999999999997
332 3 4 12 0.06733750000000001
333 3 4 13 -0.150825
334 3 4 14 0.0032094999999999984
335 3 4 15 0.017375500000000002
336 3 4 16 -0.14510545000000002
337 3 4 17 0.016020000000000003
338 3 4 18 0.086575
339 3 4 19 -0.018540000000000004
340 3 4 20 -0.23161
341 3 5 6 -0.0669305
342 3 5 7 -0.008630000000000004
343 3 5 8 -0.07344049999999999
344 3 5 9 0.13951800000000003
345 3 5 10 0.11539999999999999
346 3 5 11 0.10591499999999998
347 3 5 12 0.038928500000000005
348 3 5 13 -0.19158499999999998
349 3 5 14 -0.008960499999999995
350 3 5 15 0.066712
351 3 5 16 0.015524550000000005
352 3 5 17 0.1557375
353 3 5 18 0.266161
354 3 5 19 -0.105415
355 3 5 20 0.0015744499999999987
356 3 6 7 0.06962449999999999
357 3 6 8 -0.07149250000000001
358 3 6 9 0.015295500000000007
359 3 6 10 -0.03900450000000002
360 3 6 11 0.04639549999999999
361 3 6 12 -0.0059169999999999995
362 3 6 13 -0.1350095
363 3 6 14 0.077945
364 3 6 15 -0.0007599999999999996
365 3 6 16 -0.06855495
366 3 6 17 0.06915450000000001
367 3 6 18 0.051550499999999985
368 3 6 19 -0.02519950000000001
369 3 6 20 -0.2801595
370 3 7 8 -0.06453550000000001
371 3 7 9 0.03356
372 3 7 10 0.20535
373 3 7 11 0.0443895
374 3 7 12 0.0319925
375 3 7 13 -0.36178999999999994
376 3 7 14 0.03472949999999999
377 3 7 15 -0.07799650000000001
378 3 7 16 0.13056455000000003
379 3 7 17 0.06312000000000001
380 3 7 18 0.23385499999999998
381 3 7 19 -0.10557000000000001
382 3 7 20 -0.15662649999999997
383 3 8 9 0.1027095
384 3 8 10 0.1659875
385 3 8 11 0.2661525
386 3 8 12 -0.09569200000000001
387 3 8 13 -0.006371500000000003
388 3 8 14 -0.00686
389 3 8 15 0.0170555
390 3 8 16 -0.00937995
391 3 8 17 0.19161900000000004
392 3 8 18 0.07243549999999997
393 3 8 19 -0.039052
394 3 8 20 -0.08386350000000001
395 3 9 10 -0.04025
396 3 9 11 -0.12386500000000003
397 3 9 12 -0.19027750000000002
398 3 9 13 -0.26551
399 3 9 14 -0.11241799999999999
400 3 9 15 0.00014549999999999841
401 3 9 16 -0.033157450000000005
402 3 9 17 0.11505000000000001
403 3 9 18 -0.01969500000000002
404 3 9 19 -0.21070600000000003
405 3 9 20 -0.15590250000000003
406 3 10 11 -0.19652500000000003
407 3 10 12 -0.04018249999999999
408 3 10 13 0.04457499999999999
409 3 10 14 -0.15826500000000002
410 3 10 15 -0.13353150000000003
411 3 10 16 -0.14857745
412 3 10 17 0.05242500000000001
413 3 10 18 0.01151
414 3 10 19 -0.14163000000000003
415 3 10 20 -0.11642500000000001
416 3 11 12 -0.2657425
417 3 11 13 -0.2577705
418 3 11 14 -0.2868405
419 3 11 15 -0.0720695
420 3 11 16 -0.11493045
421 3 11 17 0.08604500000000002
422 3 11 18 -0.22235000000000002
423 3 11 19 -0.09284500000000001
424 3 11 20 -0.31333750000000005
425 3 12 13 -0.1230775
426 3 12 14 -0.183968
427 3 12 15 -0.036762
428 3 12 16 0.04088555
429 3 12 17 0.0562975
430 3 12 18 0.08658249999999999
431 3 12 19 -0.07161350000000001
432 3 12 20 -0.2248175
433 3 13 14 0.1602045
434 3 13 15 0.20273050000000004
435 3 13 16 0.31561955
436 3 13 17 0.23386500000000005
437 3 13 18 0.268478
438 3 13 19 -0.144575
439 3 13 20 0.0258335
440 3 14 15 -0.024715000000000004
441 3 14 16 -0.14031995000000003
442 3 14 17 0.2193605
443 3 14 18 0.30342050000000004
444 3 14 19 -0.01976950000000001
445 3 14 20 -0.10878600000000001
446 3 15 16 0.12772405
447 3 15 17 0.24237450000000005
448 3 15 18 0.23809800000000003
449 3 15 19 -0.13751400000000003
450 3 15 20 -0.21316549999999998
451 3 16 17 0.22184545
452 3 16 18 0.32516045000000005
453 3 16 19 -0.23694455000000006
454 3 16 20 -0.09414705
455 3 17 18 -0.03647
456 3 17 19 -0.05827000000000003
457 3 17 20 -0.253245
458 3 18 19 -0.36103250000000003
459 3 18 20 -0.40900499999999995
460 3 19 20 -0.009225499999999998
461 4 5 6 -0.156215
462 4 5 7 0.09879000000000003
463 4 5 8 0.25227
464 4 5 9 0.289873
465 4 5 10 -0.08122
466 4 5 11 0.07980999999999999
467 4 5 12 -0.07673400000000001
468 4 5 13 -0.08908499999999998
469 4 5 14 -0.060495
470 4 5 15 0.0010114999999999929
471 4 5 16 0.11230500000000002
472 4 5 17 0.09139249999999999
473 4 5 18 0.13126100000000002
474 4 5 19 -0.13520000000000001
475 4 5 20 0.18485945
476 4 6 7 0.266329
477 4 6 8 0.34350250000000004
478 4 6 9 0.25493499999999997
479 4 6 10 -0.14634000000000003
480 4 6 11 0.10957499999999999
481 4 6 12 -0.03229500000000002
482 4 6 13 0.056775000000000006
483 4 6 14 0.11569500000000002
484 4 6 15 0.022823999999999997
485 4 6 16 0.11751000000000002
486 4 6 17 0.09409400000000001
487 4 6 18 0.005935000000000002
488 4 6 19 0.0343
489 4 6 20 -0.007589999999999986
490 4 7 8 0.153755
491 4 7 9 0.07649499999999998
492 4 7 10 -0.09869
493 4 7 11 -0.08913550000000002
494 4 7 12 -0.19109000000000007
495 4 7 13 -0.36671000000000004
496 4 7 14 -0.12422499999999999
497 4 7 15 -0.251117
498 4 7 16 0.11992500000000003
499 4 7 17 -0.10864500000000002
500 4 7 18 -0.008465000000000012
501 4 7 19 -0.24277499999999996
502 4 7 20 -0.08076150000000001
503 4 8 9 -0.072646
504 4 8 10 -0.35634299999999997
505 4 8 11 -0.085663
506 4 8 12 -0.5370649999999999
507 4 8 13 -0.22958200000000004
508 4 8 14 -0.38410500000000003
509 4 8 15 -0.37435550000000006
510 4 8 16 -0.23831
511 4 8 17 -0.19843650000000002
512 4 8 18 -0.38817500000000005
513 4 8 19 -0.39454750000000005
514 4 8 20 -0.22628900000000002
515 4 9 10 -0.38722500000000004
516 4 9 11 -0.300325
517 4 9 12 -0.4562950000000001
518 4 9 13 -0.313365
519 4 9 14 -0.31430749999999996
520 4 9 15 -0.21590999999999996
521 4 9 16 -0.086732
522 4 9 17 -0.09964999999999999
523 4 9 18 -0.30495000000000005
524 4 9 19 -0.39084599999999997
525 4 9 20 -0.1229725
526 4 10 11 -0.02601
527 4 10 12 0.040775
528 4 10 13 0.34369500000000003
529 4 10 14 -0.013179499999999995
530 4 10 15 -0.0026120000000000006
531 4 10 16 0.144823
532 4 10 17 0.1847
533 4 10 18 0.07323
534 4 10 19 0.025205000000000012
535 4 10 20 0.26348
536 4 11 12 -0.3553
537 4 11 13 -0.1291655
538 4 11 14 -0.31227000000000005
539 4 11 15 -0.11166499999999999
540 4 11 16 0.007955000000000002
541 4 11 17 0.04780500000000001
542 4 11 18 -0.331145
