t i j k u[t]
122 1 10 16 0.09105700000000003
123 1 10 17 0.08238250000000001
124 1 10 18 0.07676699999999997
125 1 10 19 0.07677600000000001
126 1 10 20 0.17147850000000003
127 1 11 12 0.12465250000000003
128 1 11 13 0.03197650000000001
129 1 11 14 -0.07503850000000002
130 1 11 15 -0.18400850000000005
131 1 11 16 0.15460200000000004
132 1 11 17 0.07787000000000002
133 1 11 18 0.26759499999999997
134 1 11 19 0.06285
135 1 11 20 0.251205
136 1 12 13 -0.08723600000000001
137 1 12 14 -0.1555785
138 1 12 15 -0.1762805
139 1 12 16 0.046226000000000024
140 1 12 17 -0.08972150000000002
141 1 12 18 0.146865
142 1 12 19 -0.08013500000000004
143 1 12 20 -0.13917000000000004
144 1 13 14 -0.16434750000000004
145 1 13 15 -0.0772285
146 1 13 16 0.13546605000000003
147 1 13 17 0.022849999999999995
148 1 13 18 0.10845659999999999
149 1 13 19 -0.05870100000000003
150 1 13 20 0.18771000000000002
151 1 14 15 0.061364
152 1 14 16 0.22345450000000006
153 1 14 17 0.025429000000000004
154 1 14 18 0.11410750000000001
155 1 14 19 -0.019072500000000006
156 1 14 20 -0.04841250000000002
157 1 15 16 0.1743735000000001
158 1 15 17 0.059532000000000015
159 1 15 18 0.26428
160 1 15 19 0.04541250000000001
161 1 15 20 -0.01747650000000001
162 1 16 17 -0.10367000000000003
163 1 16 18 -0.05002550000000004
164 1 16 19 0.05867999999999999
165 1 16 20 -0.04738000000000003
166 1 17 18 0.08774499999999998
167 1 17 19 -0.028065500000000007
168 1 17 20 0.0992485
169 1 18 19 -0.35481
170 1 18 20 -0.21334999999999998
171 1 19 20 0.06825650000000001
172 2 3 4 0.38776250000000007
173 2 3 5 0.17545400000000003
174 2 3 6 0.3866385000000001
175 2 3 7 0.4956200000000001
176 2 3 8 0.25349400000000005
177 2 3 9 0.40248750000000005
178 2 3 10 0.2589965000000001
179 2 3 11 0.32745
180 2 3 12 0.2710813
181 2 3 13 0.35063000000000005
182 2 3 14 0.24232050000000005
183 2 3 15 0.20298350000000007
184 2 3 16 0.35276450000000004
185 2 3 17 0.345384
186 2 3 18 0.3946470000000001
187 2 3 19 0.4340855
188 2 3 20 0.31780800000000003
189 2 4 5 -0.14434600000000003
190 2 4 6 0.058016000000000005
191 2 4 7 0.12313000000000003
192 2 4 8 -0.079811
193 2 4 9 -0.032414500000000006
194 2 4 10 -0.04095000000000001
195 2 4 11 -0.137225
196 2 4 12 -0.1385502
197 2 4 13 -0.03393000000000002
198 2 4 14 -0.17598350000000004
199 2 4 15 -0.08372700000000004
200 2 4 16 -0.12894350000000002
201 2 4 17 -0.13584000000000002
202 2 4 18 -0.0424
203 2 4 19 0.017424499999999996
204 2 4 20 -0.04811000000000001
205 2 5 6 0.30396600000000007
206 2 5 7 0.1432299
207 2 5 8 0.09135250000000002
208 2 5 9 -0.009216499999999996
209 2 5 10 -0.065545
210 2 5 11 0.008147999999999999
211 2 5 12 0.014524250000000002
212 2 5 13 0.21550650000000005
213 2 5 14 -0.10374250000000003
214 2 5 15 -0.026084000000000006
215 2 5 16 0.12722250000000002
216 2 5 17 0.04231100000000001
