l i j f[l] s[l] h[l]
104 13 15 4.0367 1.0334079999999997 3.608224830031759e-16
105 14 15 2.659 -0.5852239999999999 -1.1102230246251565e-16
106 1 16 -2.9663 2.617723899999999 6.661338147750939e-16
107 2 16 0.4319 -0.019872499999999904 2.220446049250313e-16
108 3 16 -5.1772 4.5094036 6.661338147750939e-16
109 4 16 1.0642 0.23815950000000002 0.0
110 5 16 -1.3598 0.1363435999999999 2.7755575615628914e-16
111 6 16 -1.0806 0.6834319999999999 0.0
112 7 16 -0.915 -2.5630529999999996 -6.661338147750939e-16
113 8 16 -1.8509 0.4108230999999999 1.1102230246251565e-16
114 9 16 2.6561 -0.7784004999999996 -6.661338147750939e-16
115 10 16 -0.96898 0.06083750000000003 -1.1102230246251565e-16
116 11 16 2.1725 2.7157354999999996 4.440892098500626e-16
117 12 16 -0.3848 -1.4923883999999998 -1.1102230246251565e-16
118 13 16 3.5001 1.0334079999999997 3.608224830031759e-16
119 14 16 -1.8189 -0.5852239999999999 -1.1102230246251565e-16
120 15 16 1.8498 1.1429884999999997 2.220446049250313e-16
121 1 17 -1.7624 2.617723899999999 6.661338147750939e-16
122 2 17 -2.1834 -0.019872499999999904 2.220446049250313e-16
123 3 17 2.59 4.5094036 6.661338147750939e-16
124 4 17 -1.667 0.23815950000000002 0.0
125 5 17 0.76226 0.1363435999999999 2.7755575615628914e-16
126 6 17 0.6564 0.6834319999999999 0.0
127 7 17 2.2648 -2.5630529999999996 -6.661338147750939e-16
128 8 17 -1.3806 0.4108230999999999 1.1102230246251565e-16
129 9 17 -1.0096 -0.7784004999999996 -6.661338147750939e-16
130 10 17 0.67555 0.06083750000000003 -1.1102230246251565e-16
131 11 17 3.4272 2.7157354999999996 4.440892098500626e-16
132 12 17 -1.0371 -1.4923883999999998 -1.1102230246251565e-16
133 13 17 3.8297 1.0334079999999997 3.608224830031759e-16
134 14 17 -3.0898 -0.5852239999999999 -1.1102230246251565e-16
135 15 17 -0.56522 1.1429884999999997 2.220446049250313e-16
136 16 17 -1.4985 -0.5783090000000001 0.0
137 1 18 -4.3796 2.617723899999999 6.661338147750939e-16
138 2 18 -4.1227 -0.019872499999999904 2.220446049250313e-16
139 3 18 -0.08696 4.5094036 6.661338147750939e-16
140 4 18 -4.6226 0.23815950000000002 0.0
141 5 18 -2.6833 0.1363435999999999 2.7755575615628914e-16
142 6 18 -1.4728 0.6834319999999999 0.0
143 7 18 1.3247 -2.5630529999999996 -6.661338147750939e-16
144 8 18 -0.71337 0.4108230999999999 1.1102230246251565e-16
145 9 18 3.6561 -0.7784004999999996 -6.661338147750939e-16
146 10 18 -1.8706 0.06083750000000003 -1.1102230246251565e-16
147 11 18 3.0717 2.7157354999999996 4.440892098500626e-16
148 12 18 0.61658 -1.4923883999999998 -1.1102230246251565e-16
149 13 18 -0.61647 1.0334079999999997 3.608224830031759e-16
150 14 18 -1.5276 -0.5852239999999999 -1.1102230246251565e-16
151 15 18 -0.5743 1.1429884999999997 2.220446049250313e-16
152 16 18 2.5532 -0.5783090000000001 0.0
153 17 18 -7.0009 -1.5010328999999996 0.0
154 1 19 -4.6653 2.617723899999999 6.661338147750939e-16
155 2 19 -2.1331 -0.019872499999999904 2.220446049250313e-16
156 3 19 -1.1097 4.5094036 6.661338147750939e-16
157 4 19 0.079698 0.23815950000000002 0.0
158 5 19 -1.9493 0.1363435999999999 2.7755575615628914e-16
159 6 19 4.3889 0.6834319999999999 0.0
160 7 19 -3.9456 -2.5630529999999996 -6.661338147750939e-16
161 8 19 -0.25736 0.4108230999999999 1.1102230246251565e-16
162 9 19 0.64406 -0.7784004999999996 -6.661338147750939e-16
163 10 19 2.1026 0.06083750000000003 -1.1102230246251565e-16
164 11 19 1.1767 2.7157354999999996 4.440892098500626e-16
165 12 19 2.9851 -1.4923883999999998 -1.1102230246251565e-16
166 13 19 0.089142 1.0334079999999997 3.608224830031759e-16
167 14 19 -0.65129 -0.5852239999999999 -1.1102230246251565e-16
168 15 19 -1.8526 1.1429884999999997 2.220446049250313e-16
169 16 19 -0.032466 -0.5783090000000001 0.0
170 17 19 -0.59677 -1.5010328999999996 0.0
171 18 19 0.55251 4.755363499999998 1.7763568394002505e-15
172 1 20 -1.6513 2.617723899999999 6.661338147750939e-16
173 2 20 -2.4703 -0.019872499999999904 2.220446049250313e-16
174 3 20 2.9246 4.5094036 6.661338147750939e-16
175 4 20 0.30273 0.23815950000000002 0.0
176 5 20 -0.3426 0.1363435999999999 2.7755575615628914e-16
177 6 20 2.5935 0.6834319999999999 0.0
178 7 20 -1.5458 -2.5630529999999996 -6.661338147750939e-16
179 8 20 7.8413 0.4108230999999999 1.1102230246251565e-16
180 9 20 1.355 -0.7784004999999996 -6.661338147750939e-16
181 10 20 0.87813 0.06083750000000003 -1.1102230246251565e-16
182 11 20 1.9008 2.7157354999999996 4.440892098500626e-16
183 12 20 2.6622 -1.4923883999999998 -1.1102230246251565e-16
184 13 20 4.3036 1.0334079999999997 3.608224830031759e-16
185 14 20 0.51928 -0.5852239999999999 -1.1102230246251565e-16
186 15 20 0.29031 1.1429884999999997 2.220446049250313e-16
187 16 20 3.7269 -0.5783090000000001 0.0
188 17 20 1.412 -1.5010328999999996 0.0
189 18 20 -3.4783 4.755363499999998 1.7763568394002505e-15
190 19 20 1.8023 0.2859314999999998 2.220446049250313e-16
