t i j k u[t]
404 3 9 19 0.31816
405 3 9 20 -0.013067749999999998
406 3 10 11 -0.2573855
407 3 10 12 0.07858349999999999
408 3 10 13 -0.06774649999999999
409 3 10 14 0.2556935
410 3 10 15 0.24483349999999998
411 3 10 16 0.15772049999999999
412 3 10 17 0.032277499999999994
413 3 10 18 0.10595949999999998
414 3 10 19 0.1971335
415 3 10 20 0.01985325
416 3 11 12 0.1406925
417 3 11 13 0.050546
418 3 11 14 0.092224
419 3 11 15 0.078519
420 3 11 16 0.165386
421 3 11 17 -0.176847
422 3 11 18 -0.0015795000000000002
423 3 11 19 0.088314
424 3 11 20 -0.22814375
425 3 12 13 0.009400000000000007
426 3 12 14 0.0093615
427 3 12 15 -0.18822499999999998
428 3 12 16 0.07626
429 3 12 17 -0.25773099999999993
430 3 12 18 -0.11719650000000002
431 3 12 19 -0.08442699999999999
432 3 12 20 -0.19801374999999996
433 3 13 14 -0.12363499999999998
434 3 13 15 0.0619595
435 3 13 16 0.26768000000000003
436 3 13 17 -0.23589099999999996
437 3 13 18 0.088611
438 3 13 19 0.10534000000000002
439 3 13 20 0.004882249999999999
440 3 14 15 0.22888000000000003
441 3 14 16 0.059369999999999985
442 3 14 17 -0.079966
443 3 14 18 -0.08671899999999999
444 3 14 19 -0.107185
445 3 14 20 -0.18953324999999996
446 3 15 16 -0.14065
447 3 15 17 -0.288621
448 3 15 18 -0.22732400000000003
449 3 15 19 0.06828999999999999
450 3 15 20 -0.08658325
451 3 16 17 -0.1762745
452 3 16 18 -0.22478899999999996
453 3 16 19 -0.012721999999999989
454 3 16 20 -0.24854275
455 3 17 18 0.076659
456 3 17 19 0.296051
457 3 17 20 -0.22402675000000002
458 3 18 19 0.178919
459 3 18 20 -0.04783875
460 3 19 20 -0.12190725
461 4 5 6 0.05753435000000001
462 4 5 7 -0.016160000000000018
463 4 5 8 0.12859099999999998
464 4 5 9 -0.026230000000000017
465 4 5 10 -0.270759
466 4 5 11 0.03776999999999999
467 4 5 12 -0.014822000000000002
468 4 5 13 0.078913
469 4 5 14 -0.20666500000000002
470 4 5 15 -0.012295500000000003
471 4 5 16 -0.08975
472 4 5 17 -0.04428449999999999
473 4 5 18 0.00900749999999999
474 4 5 19 -0.051675000000000006
475 4 5 20 -0.22732549999999993
476 4 6 7 -0.00958435000000002
477 4 6 8 0.15113414999999997
478 4 6 9 -0.009419350000000003
479 4 6 10 -0.019895649999999997
480 4 6 11 0.021585649999999998
481 4 6 12 -0.23848835
482 4 6 13 0.07507964999999998
483 4 6 14 0.04681564999999999
484 4 6 15 -0.11064985000000001
485 4 6 16 -0.16932534999999999
486 4 6 17 -0.25009384999999995
487 4 6 18 -0.18844684999999997
488 4 6 19 -0.028124349999999992
489 4 6 20 -0.007893849999999999
490 4 7 8 0.31407999999999997
491 4 7 9 -0.06583
492 4 7 10 0.25225600000000004
493 4 7 11 0.10258
494 4 7 12 0.1887345
495 4 7 13 0.0064629999999999965
496 4 7 14 0.004620000000000002
497 4 7 15 0.0010445000000000035
498 4 7 16 -0.10094500000000001
499 4 7 17 0.08951499999999998
500 4 7 18 -0.059127499999999986
501 4 7 19 0.09529000000000001
502 4 7 20 0.0065245
503 4 8 9 -0.11888499999999999
504 4 8 10 -0.32079399999999997
505 4 8 11 -0.23731349999999998
506 4 8 12 -0.14983149999999998
507 4 8 13 -0.08912149999999999
508 4 8 14 -0.2199615
509 4 8 15 -0.21352049999999997
510 4 8 16 -0.35660000000000003
511 4 8 17 -0.0786945
512 4 8 18 -0.17715249999999996
513 4 8 19 -0.140475
514 4 8 20 -0.4063205
515 4 9 10 0.27023099999999994
516 4 9 11 0.0254155
517 4 9 12 -0.083229
518 4 9 13 -0.005181999999999997
519 4 9 14 -0.23304
520 4 9 15 -0.3809805
521 4 9 16 -0.25448
522 4 9 17 -0.2643945
523 4 9 18 -0.1185575
524 4 9 19 0.07849500000000001
525 4 9 20 -0.04433549999999999
526 4 10 11 -0.29323099999999996
527 4 10 12 -0.021795
528 4 10 13 -0.06355299999999998
529 4 10 14 0.08981399999999999
530 4 10 15 0.14470349999999998
531 4 10 16 -0.10640899999999999
532 4 10 17 0.08307449999999998
533 4 10 18 0.12274649999999998
534 4 10 19 0.0003790000000000071
535 4 10 20 0.031496
536 4 11 12 0.07615949999999999
537 4 11 13 0.09058499999999997
538 4 11 14 -0.037809999999999996
539 4 11 15 0.014234500000000004
540 4 11 16 -0.06289800000000001
541 4 11 17 -0.09020449999999999
542 4 11 18 0.05105299999999999
543 4 11 19 -0.07259499999999998
544 4 11 20 -0.18065550000000002
545 4 12 13 0.113972
546 4 12 14 -0.056139499999999995
547 4 12 15 -0.1879765
548 4 12 16 -0.087491
549 4 12 17 -0.1065555
550 4 12 18 -3.100000000000325e-5
551 4 12 19 -0.180803
552 4 12 20 -0.0859925
553 4 13 14 -0.29370799999999997
554 4 13 15 -0.042364
555 4 13 16 -0.0006430000000000157
556 4 13 17 -0.1892875
557 4 13 18 0.1012045
558 4 13 19 -0.09560799999999998
559 4 13 20 0.012331499999999995
560 4 14 15 0.2946295
561 4 14 16 -0.038880000000000005
562 4 14 17 0.13671049999999998
563 4 14 18 0.09594749999999999
564 4 14 19 -0.13805999999999996
565 4 14 20 -0.012011000000000004
566 4 15 16 -0.3046495
567 4 15 17 -0.13769399999999998
568 4 15 18 -0.110407
569 4 15 19 -0.028334499999999995
570 4 15 20 0.025189499999999993
571 4 16 17 0.138652
572 4 16 18 0.05612750000000001
