l i j f[l] s[l] h[l]
147 11 18 0.2029 2.3302024999999995 0.0
148 12 18 3.4304 -0.9227305 -1.6653345369377348e-16
149 13 18 0.17991 0.23944700000000008 0.0
150 14 18 -2.6742 -0.7626179999999996 -2.220446049250313e-16
151 15 18 -3.7986 2.7555544999999997 2.220446049250313e-16
152 16 18 0.76755 0.7781486 -4.440892098500626e-16
153 17 18 -4.1964 -0.3316744 -2.220446049250313e-16
154 1 19 -4.3881 -0.8377070000000002 -4.440892098500626e-16
155 2 19 -3.2983 -0.7996845000000001 -6.661338147750939e-16
156 3 19 -1.4997 4.6234225 0.0
157 4 19 -2.4034 -0.7716194999999999 -6.661338147750939e-16
158 5 19 -3.5782 -0.8598925 -2.220446049250313e-16
159 6 19 3.5118 1.1666649999999998 2.220446049250313e-16
160 7 19 -3.7594 -0.05429200000000009 -4.440892098500626e-16
161 8 19 -2.1062 1.2575649999999998 5.551115123125783e-17
162 9 19 1.9693 -0.4705075 2.220446049250313e-16
163 10 19 -1.1619 -2.1055724999999996 -2.220446049250313e-16
164 11 19 -1.1188 2.3302024999999995 0.0
165 12 19 1.4508 -0.9227305 -1.6653345369377348e-16
166 13 19 -0.74369 0.23944700000000008 0.0
167 14 19 -2.4391 -0.7626179999999996 -2.220446049250313e-16
168 15 19 -5.2504 2.7555544999999997 2.220446049250313e-16
169 16 19 -0.23663 0.7781486 -4.440892098500626e-16
170 17 19 -2.3812 -0.3316744 -2.220446049250313e-16
171 18 19 -1.2972 1.9431330999999996 4.440892098500626e-16
172 1 20 -3.4212 -0.8377070000000002 -4.440892098500626e-16
173 2 20 -2.3486 -0.7996845000000001 -6.661338147750939e-16
174 3 20 1.5004 4.6234225 0.0
175 4 20 -2.4148 -0.7716194999999999 -6.661338147750939e-16
176 5 20 -4.135 -0.8598925 -2.220446049250313e-16
177 6 20 -1.1189 1.1666649999999998 2.220446049250313e-16
178 7 20 -4.4897 -0.05429200000000009 -4.440892098500626e-16
179 8 20 2.8075 1.2575649999999998 5.551115123125783e-17
180 9 20 0.4265 -0.4705075 2.220446049250313e-16
181 10 20 2.2798 -2.1055724999999996 -2.220446049250313e-16
182 11 20 2.2856 2.3302024999999995 0.0
183 12 20 -0.060407 -0.9227305 -1.6653345369377348e-16
184 13 20 2.4855 0.23944700000000008 0.0
185 14 20 -2.2087 -0.7626179999999996 -2.220446049250313e-16
186 15 20 -3.5474 2.7555544999999997 2.220446049250313e-16
187 16 20 1.4629 0.7781486 -4.440892098500626e-16
188 17 20 0.28707 -0.3316744 -2.220446049250313e-16
189 18 20 -2.7068 1.9431330999999996 4.440892098500626e-16
190 19 20 1.0675 0.1750081 5.551115123125783e-17
