l i j f[l] s[l] h[l]
92 1 15 -3.1912 0.6958099999999997 -4.440892098500626e-16
93 2 15 2.1218 -0.37168384999999976 -8.881784197001252e-16
94 3 15 -0.93018 3.3986061500000004 -4.440892098500626e-16
95 4 15 4.18 -0.11446250000000027 -4.440892098500626e-16
96 5 15 2.1285 -0.5641025 1.1102230246251565e-16
97 6 15 -2.2838 1.8024213499999997 5.551115123125783e-16
98 7 15 1.9291 -1.1279438500000003 -8.881784197001252e-16
99 8 15 -0.73303 1.05086615 -2.220446049250313e-16
100 9 15 2.0061 -0.5472299999999999 -1.6653345369377348e-16
101 10 15 1.0721 -0.6806813500000001 -3.3306690738754696e-16
102 11 15 -0.55285 1.23123485 -1.3322676295501878e-15
103 12 15 2.5166 -0.34567515000000026 -4.440892098500626e-16
104 13 15 2.3155 0.8098516999999998 -1.1102230246251565e-16
105 14 15 4.8215 -2.00650265 -6.661338147750939e-16
106 1 16 -4.2154 0.6958099999999997 -4.440892098500626e-16
107 2 16 -0.59209 -0.37168384999999976 -8.881784197001252e-16
108 3 16 -0.39584 3.3986061500000004 -4.440892098500626e-16
109 4 16 -0.24967 -0.11446250000000027 -4.440892098500626e-16
110 5 16 0.053013 -0.5641025 1.1102230246251565e-16
111 6 16 -2.3151 1.8024213499999997 5.551115123125783e-16
112 7 16 -2.3008 -1.1279438500000003 -8.881784197001252e-16
113 8 16 -2.1282 1.05086615 -2.220446049250313e-16
114 9 16 6.4792 -0.5472299999999999 -1.6653345369377348e-16
115 10 16 0.43329 -0.6806813500000001 -3.3306690738754696e-16
116 11 16 1.8047 1.23123485 -1.3322676295501878e-15
117 12 16 0.84002 -0.34567515000000026 -4.440892098500626e-16
118 13 16 2.3267 0.8098516999999998 -1.1102230246251565e-16
119 14 16 0.20452 -2.00650265 -6.661338147750939e-16
120 15 16 -2.1066 2.4913787 -1.1102230246251565e-16
121 1 17 -4.3054 0.6958099999999997 -4.440892098500626e-16
122 2 17 -1.2214 -0.37168384999999976 -8.881784197001252e-16
123 3 17 -1.6441 3.3986061500000004 -4.440892098500626e-16
124 4 17 -2.6599 -0.11446250000000027 -4.440892098500626e-16
125 5 17 -0.79502 -0.5641025 1.1102230246251565e-16
126 6 17 0.31444 1.8024213499999997 5.551115123125783e-16
127 7 17 -1.2962 -1.1279438500000003 -8.881784197001252e-16
128 8 17 -2.51 1.05086615 -2.220446049250313e-16
129 9 17 2.1643 -0.5472299999999999 -1.6653345369377348e-16
130 10 17 1.2057 -0.6806813500000001 -3.3306690738754696e-16
131 11 17 1.8415 1.23123485 -1.3322676295501878e-15
132 12 17 -1.3891 -0.34567515000000026 -4.440892098500626e-16
