t i j k u[t]
137 1 12 14 0.16760999999999998
138 1 12 15 0.006095000000000005
139 1 12 16 -0.013619999999999986
140 1 12 17 -0.18803249999999996
141 1 12 18 -0.16261299999999998
142 1 12 19 0.019714999999999993
143 1 12 20 -0.02292649999999997
144 1 13 14 -0.06124
145 1 13 15 -0.01501000000000001
146 1 13 16 -0.1421985
147 1 13 17 -0.16009
148 1 13 18 -0.12247999999999998
149 1 13 19 -0.15399300000000002
150 1 13 20 -0.034724999999999964
151 1 14 15 -0.08665800000000001
152 1 14 16 -0.16191499999999995
153 1 14 17 -0.23494999999999994
154 1 14 18 -0.15830299999999997
155 1 14 19 -0.031513500000000014
156 1 14 20 0.02651500000000003
157 1 15 16 0.044735000000000004
158 1 15 17 -0.006094999999999983
159 1 15 18 -0.08095349999999997
160 1 15 19 0.016108499999999994
161 1 15 20 0.07374335000000003
162 1 16 17 -0.061238999999999995
163 1 16 18 -0.09705999999999998
164 1 16 19 -0.15399
165 1 16 20 0.01611500000000001
166 1 17 18 0.153995
167 1 17 19 -0.126085
168 1 17 20 0.108865
169 1 18 19 -0.03151500000000002
170 1 18 20 0.19412649999999998
171 1 19 20 -0.013619999999999964
172 2 3 4 0.22385499999999997
173 2 3 5 0.20774699999999996
174 2 3 6 0.3778459999999999
175 2 3 7 0.3821549999999999
176 2 3 8 0.209135
177 2 3 9 0.34994
178 2 3 10 0.2102334999999999
179 2 3 11 0.10137349999999999
180 2 3 12 0.168315
181 2 3 13 0.29009149999999995
182 2 3 14 0.45840499999999995
183 2 3 15 0.22385349999999993
184 2 3 16 0.33593
185 2 3 17 0.28038699999999994
186 2 3 18 0.3406314999999999
187 2 3 19 0.24926999999999994
188 2 3 20 0.26288999999999996
189 2 4 5 -0.01362000000000002
