match,team1,direct_play,counterattack,T_maintenance,T_build_up,T_zona_media,flow_rate,crossing,pressure_point,pressure_loss,shots,liga
2499726,10531,198.90938586470273,20.274343512192704,345.8690509999998,120.64587200000011,428.4866610000001,5.236068806236053,6,1212.0,107.14878299999953,1,England
2499727,1612,272.2721340442675,37.80772750550536,355.5503050000008,119.63293700000014,482.98692200000085,7.079912949840148,3,1605.0,16.603041000000417,2,England
2499727,1644,248.3264633859265,11.311165321484147,530.5500209999998,206.47850299999914,362.477762000001,10.019479553702116,6,1286.0,117.03931900000055,0,England
2499728,1627,191.24852272169667,16.086544851976615,128.5773720000002,310.26099400000135,246.42331300000052,6.769965326927753,3,1313.0,48.51382999999919,3,England
2499728,1659,315.2583051051724,34.24884611687049,226.35915100000142,554.5989960000002,688.1480840000006,17.18545212469705,11,2844.0,95.27529700000014,4,England
2499729,1644,347.01001216042397,50.91217470516352,157.4280910000016,602.9640979999975,312.72459900000024,11.608198518767038,14,2736.0,167.55089999999967,6,England
2499729,1659,226.91963197022974,10.133419253475095,381.4102019999996,153.98071999999968,343.52581499999826,8.392577623656976,6,1299.0,84.21420400000159,0,England
2499730,1627,135.54063429728217,18.100235178581112,77.28901099999985,232.86896000000047,248.62883399999936,3.4466527417462296,5,868.0,37.911580000000185,1,England
2499730,1646,270.884275664748,49.01800166330869,233.70536300000015,172.7599829999997,531.3586350000011,10.272254024696903,15,1648.0,46.47419999999954,1,England
2499731,1613,240.94921430777492,36.904473405246684,223.00217999999978,245.58199399999938,405.0431069999993,10.157857221503619,5,1978.0,26.789030000000025,1,England
2499731,1673,201.12410598864898,25.76728651215049,459.4383760000013,145.53486400000304,363.9799410000005,9.2005587104421,6,1764.0,307.42909899999916,1,England
2499732,1631,257.7725939509949,56.26581827104824,452.91901399999847,186.25829800000008,492.31157400000086,6.137441977796537,6,1266.0,96.07157800000061,2,England
2499732,1651,380.19380490646006,57.27672672294746,390.6527809999978,233.47883000000138,583.916347999999,9.442357857900376,9,2199.0,115.30254700000137,2,England
2499733,1612,439.4903983617332,80.93280336613665,237.88159099999933,452.1622419999997,874.0488760000005,19.444352831698225,9,2774.0,71.86435699999925,4,England
2499733,1628,142.47837435135838,2.4918687606841194,108.38616799999966,242.68880600000034,161.81130799999937,7.041901245046931,7,986.0,32.424640999999156,0,England
2499734,1623,215.6932607206595,41.639762851536865,288.0037840000007,293.3631209999989,330.7678919999998,8.474247068736652,1,1425.0,91.92089199999975,4,England
2499734,1625,422.78055313746074,122.51029245797817,309.9580360000002,387.51319999999964,645.142290000001,16.637614645558422,10,1932.0,150.4338690000002,10,England
2499735,1609,486.5826710133973,87.89632306715313,206.97983500000032,748.6938120000004,839.8565010000002,19.127366725359163,17,3044.0,39.6357230000001,4,England
2499735,1639,107.6995445003221,32.841130037605005,101.37400200000036,42.91039400000051,152.47900900000013,3.553802593101029,3,475.0,42.82566899999941,1,England
2499736,1611,301.9207899095694,28.422683132403726,202.21095200000195,310.2603469999975,775.531330999999,17.27593688304865,8,2697.0,223.91965100000004,2,England
2499736,10531,191.07446034870625,29.236586772231718,316.47183100000154,367.5694460000001,368.33000100000015,8.37929845644111,8,1558.0,126.02564599999982,2,England
2499737,1610,153.13255561779445,13.982085224519468,287.9345920000005,150.3254499999992,194.41569299999892,6.432464993401609,4,1216.0,87.80850300000003,3,England
2499737,1624,347.69595513155576,35.19098314642921,305.72390199999893,340.9277199999967,724.1666869999997,14.945117836133145,11,2595.0,109.40658100000019,3,England
2499738,1619,277.7686774606401,53.38440043258942,88.01136099999894,483.6497299999977,481.3163239999981,9.68783047160243,4,2085.0,9.845585999999912,3,England
2499738,1633,138.19657520281038,29.469039378643892,123.36966499999983,152.2097530000001,244.12606799999912,9.346468567537213,7,1097.0,134.01507100000072,4,England
2499739,1625,440.82690126722235,97.72585288564959,259.07186799999994,516.2547110000017,663.8150930000019,20.098305879290447,20,3449.0,105.74739600000032,5,England
2499739,1659,222.89327661873804,33.05941432061867,533.1504309999993,19.58570700000041,65.14766600000064,1.9117992633732566,1,683.0,37.92688099999975,0,England
2499740,1610,322.7182528657294,32.175482170863404,534.7135720000001,275.8889229999995,529.0325440000004,17.26083559820535,6,2297.0,146.1966599999998,5,England
2499740,1623,336.3098646142907,34.37726908422357,404.18127000000004,271.5869380000015,584.5677570000021,5.780904724826372,3,1852.0,149.5881649999992,1,England
2499741,1628,268.87636901438987,74.55231660998618,314.72458999999816,182.01270900000316,652.8073670000002,12.088612083589346,11,1535.0,81.17435499999988,4,England
2499741,10531,265.18188834188925,25.4144556078981,401.74191399999773,246.6539860000005,612.5340020000016,8.859383076690332,1,1735.0,81.82043499999963,2,England
2499742,1619,398.8127152345383,28.775275607806908,380.4847750000016,283.8616780000003,717.823563,10.173964029970689,5,2068.0,45.955450999999584,5,England
2499742,1673,199.51067650763824,44.67876161422529,159.75667800000048,217.13963200000157,218.01185399999918,10.331563384817613,9,1602.0,183.874284,6,England
2499743,1609,448.7637354349641,37.254367965757766,315.479124999999,495.7799460000013,993.1567200000009,12.371571922308558,4,2335.0,116.43456999999967,2,England
2499743,1612,263.44681146653147,23.920272637593484,295.4595680000002,204.97572100000104,434.0573940000015,10.489848809565496,7,1933.0,167.3061919999999,5,England
2499744,1611,377.1291097203719,68.15737179569807,85.70758300000011,548.0440770000006,815.3740160000017,21.87756714101687,18,2856.0,64.85747599999945,6,England
2499744,1631,177.42558776622647,16.371240181122367,122.19733599999915,365.89695299999823,281.6991800000001,8.498094234174427,4,1159.0,46.4245080000004,3,England
2499745,1613,173.29339308755036,78.47129518738461,83.21967499999988,90.94835700000067,149.18538700000056,6.299338651701676,5,849.0,87.64522099999976,5,England
2499745,1633,226.0768838292344,23.292942981539092,520.0441589999994,146.5775699999997,696.0097379999963,8.970735438154485,5,1937.0,64.65217799999994,1,England
2499746,1624,391.9681438265614,89.69429798847278,368.65193099999914,398.6640349999999,754.6817830000012,13.419173438535315,10,2174.0,54.46882299999993,6,England
2499746,1646,228.4592410393037,40.49243540470874,175.8190639999989,345.79934400000036,238.68967100000089,6.094844208184547,7,1757.0,53.80486299999836,5,England
2499747,1644,217.21454114585381,41.5947992865315,284.91281599999894,238.2380399999992,306.85341299999834,8.186275634486146,3,1251.0,52.78533600000037,2,England
2499747,1651,328.82124568067474,41.972276222560964,274.85010700000043,260.43224699999814,500.3024989999998,11.685001925098122,10,2091.0,67.97761800000023,3,England
2499748,1627,271.317997979493,55.28155531127136,247.40381400000012,265.8981890000001,358.9257910000014,8.004453915181273,10,1237.0,66.55057699999952,4,England
2499748,1639,263.6253651573627,47.07672121903937,252.7393540000005,486.3221530000019,498.0014690000003,12.243492881607882,8,1592.0,76.91718099999935,5,England
2499749,1609,350.53255718033614,41.88005576286748,399.96433699999807,312.67811299999727,388.8513500000016,15.601146479455409,9,2998.0,190.26312100000018,9,England
2499749,1659,220.09648560735556,28.735517328050314,466.81231600000103,136.0629760000001,363.00715400000075,5.302847657675317,4,2045.0,74.1636880000002,1,England
2499750,1627,491.49518353482557,75.9890606837578,280.1422040000002,422.3780930000012,894.0432169999997,12.455511234185336,14,2596.0,42.123089000000505,5,England
2499750,1651,263.47859740214517,45.69232747360752,465.4073409999996,215.2409769999993,381.24302000000046,7.398985648004789,4,1274.0,10.21513799999957,4,England
2499751,1628,225.57910685176387,38.63810315618821,160.75600699999995,238.1732130000023,300.5513450000001,15.694731806276568,11,1915.0,160.2992349999986,2,England
2499751,1646,225.5645362030263,38.96625244726031,344.5930000000005,176.0164960000002,241.77334399999978,5.743205180277944,4,1046.0,90.23651600000028,0,England
2499752,1623,370.8353828643815,44.32327283815985,541.4832279999991,250.2077359999997,453.6011100000013,9.502766328879014,13,1743.0,24.452955999999688,2,England
2499752,1624,343.6056347077541,36.867805304872206,356.2964570000008,347.77428699999984,297.616239,15.560809526801888,13,2005.0,197.84847999999968,8,England
2499753,1610,336.7615536118714,58.26423053301319,365.49268700000107,325.85085500000014,462.2317619999991,12.799145980671403,7,2463.0,193.2469290000006,7,England
2499753,1631,188.30128328444184,54.064990223912396,284.64282999999955,297.44248199999873,371.96554900000143,8.48973952694541,7,1258.0,54.66420799999901,0,England
2499754,1612,267.0845194881375,71.46582403677021,484.4878649999989,223.97371000000055,300.9331209999993,10.433500925092021,2,1717.0,206.67518400000108,2,England
2499754,1625,347.27383125224685,58.662512218898804,379.41042500000003,272.42573899999945,1229.4548429999982,12.980957673853977,14,2518.0,190.00003700000116,7,England
2499755,1619,376.6648634193109,72.69114010684808,463.4359759999984,355.20826399999976,336.71006100000125,8.260895311556128,8,1711.0,2.266503999999941,0,England
2499755,1644,139.2472649973779,22.398378940092535,136.53776799999997,132.61704699999967,268.24365000000034,7.58110082019339,2,719.0,38.22836499999994,2,England
2499756,1611,381.545148243149,51.1911473563321,337.8150020000013,382.4506280000004,775.814777000001,16.001528475225303,13,3532.0,252.46281999999974,5,England
2499756,1639,217.86553976475167,31.315562950796693,112.01295399999998,220.10290200000003,443.7727729999994,7.938409138858256,5,907.0,14.74734800000033,3,England
2499757,1613,233.2374644892753,32.0146827443635,199.83292899999879,294.15299099999936,313.1608719999994,12.568903874833964,9,1409.0,107.86524799999984,5,England
2499757,10531,276.2536643984556,27.07571615930453,346.47418800000116,221.11169700000346,547.0636209999982,11.81730062338022,9,1804.0,95.47643100000005,2,England
2499758,1633,131.43425670029592,24.239118021618967,228.49976200000026,132.18364799999983,151.60425400000014,6.768871562623437,5,1241.0,81.60855600000076,2,England
2499758,1673,280.68019098534376,33.51162747760882,443.1991860000013,226.1878359999988,561.6029699999992,9.17341103314188,7,1103.0,8.877359999999499,3,England
2499759,1651,282.11290216509076,28.466266885612992,268.96848200000335,219.9884659999979,323.66371999999836,8.367935727448472,4,1240.0,39.09218699999991,1,England
2499759,1659,359.2093020733122,30.488313723716338,259.8804219999995,471.85615599999903,900.9020320000006,13.026808429709588,8,2212.0,120.76119499999919,0,England
2499760,1609,463.9724385061537,68.35516286455433,225.4568239999993,451.25482000000267,809.0801149999998,16.668803054359568,9,1685.0,169.67395100000067,7,England
